000033.SZ,2014,5
000037.SZ,2016,4
000056.SZ,2012,4
000059.SZ,2015,4
000068.SZ,2010,4
000068.SZ,2015,3
000155.SZ,2012,4
000155.SZ,2015,4
000408.SZ,2016,4
000410.SZ,2017,5
000415.SZ,2010,3
000420.SZ,2012,2
000422.SZ,2018,4
000504.SZ,2010,4
000504.SZ,2016,4
000505.SZ,2016,4
000510.SZ,2015,4
000511.SZ,2016,5
000520.SZ,2013,4
000526.SZ,2017,4
000545.SZ,2011,4
000585.SZ,2012,4
000585.SZ,2018,4
000590.SZ,2015,5
000594.SZ,2013,5
000595.SZ,2011,4
000595.SZ,2017,3
000598.SZ,2010,3
000602.SZ,2011,2
000606.SZ,2016,4
000607.SZ,2011,4
000611.SZ,2015,4
000613.SZ,2017,4
000617.SZ,2013,4
000617.SZ,2016,4
000622.SZ,2016,4
000629.SZ,2010,4
000629.SZ,2016,5
000633.SZ,2016,4
000655.SZ,2018,4
000659.SZ,2014,5
000659.SZ,2017,5
000662.SZ,2012,4
000669.SZ,2012,3
000670.SZ,2016,5
000676.SZ,2010,4
000677.SZ,2015,3
000691.SZ,2016,5
000693.SZ,2016,5
000703.SZ,2010,3
000707.SZ,2018,5
000710.SZ,2017,3
000711.SZ,2015,3
000717.SZ,2013,2
000717.SZ,2016,4
000720.SZ,2018,4
000737.SZ,2011,4
000737.SZ,2018,2
000751.SZ,2012,4
000755.SZ,2014,3
000755.SZ,2017,3
000760.SZ,2010,4
000767.SZ,2012,4
000779.SZ,2014,4
000780.SZ,2017,4
000799.SZ,2015,4
000803.SZ,2017,3
000806.SZ,2012,4
000809.SZ,2017,4
000815.SZ,2012,4
000815.SZ,2015,4
000816.SZ,2018,4
000820.SZ,2010,4
000822.SZ,2014,2
000831.SZ,2010,4
000831.SZ,2016,4
000838.SZ,2012,4
000856.SZ,2016,4
000892.SZ,2015,4
000893.SZ,2018,5
000898.SZ,2013,3
000899.SZ,2012,4
000902.SZ,2010,3
000902.SZ,2014,3
000908.SZ,2010,2
000912.SZ,2015,4
000913.SZ,2016,4
000922.SZ,2017,3
000927.SZ,2015,4
000928.SZ,2014,3
000932.SZ,2017,5
000933.SZ,2016,4
000950.SZ,2016,4
000953.SZ,2010,4
000953.SZ,2017,3
000958.SZ,2010,4
000962.SZ,2016,4
000968.SZ,2016,3
000972.SZ,2012,5
000972.SZ,2017,4
000976.SZ,2010,4
000976.SZ,2015,3
000982.SZ,2017,5
000995.SZ,2015,4
000995.SZ,2018,5
001896.SZ,2010,4
002006.SZ,2014,4
